names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_DTN-LDT-IPN Otp Pax3 Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Smarca2,2.9686,3.7247362,0.002991596661710943,0.9996718087780754,1.0,0.6791750214838155,2.8880024,0.8253304
Ckb,2.8833153,4.4149528,0.0039351316749922345,0.9996718087780754,1.0,0.5501289028931539,2.8880024,0.5849624
Rtn3,2.8752239,2.4001057,0.0040374123441881266,0.9996718087780754,1.0,0.866227441993698,3.1100168,1.6210313
Sorbs2,2.842535,2.4651046,0.004475632841001664,0.9996718087780754,1.0,0.7823331423660842,3.1090698,1.5842515
Hspa8,2.8342285,4.344097,0.004593648219043409,0.9996718087780754,1.0,0.6712618160985391,3.33087,0.8448249
Nrgn,2.6626925,3.2241771,0.007751822759478452,0.9996718087780754,1.0,0.7352835863649384,2.8880024,1.0348276
Plp1,2.4191551,3.382531,0.015556608238767346,0.9996718087780754,1.0,0.7187410484101977,3.2408304,1.210294
Enpp6,1.923559,6.291351,0.05440989667245753,0.9996718087780754,0.6666666666666666,0.0689630478372959,1.9118434,0.07102968
Gng13,1.8704977,5.878001,0.06141473921042709,0.9996718087780754,0.6666666666666666,0.12568032082497851,1.9446001,0.09700595
Tceal9,1.8388472,5.6370807,0.06593767505478025,0.9996718087780754,0.6666666666666666,0.1566528215411057,1.9118434,0.109619886
M6pr,1.828464,5.6742215,0.06747994053368812,0.9996718087780754,0.6666666666666666,0.1690418218275566,1.9118434,0.10697744
Edf1,1.8193699,5.6327286,0.06885502210348857,0.9996718087780754,0.6666666666666666,0.17670438269836722,2.1666145,0.14476734
Slc6a11,1.8142499,5.428236,0.06963925858572699,0.9996718087780754,0.6666666666666666,0.18361501002578057,1.919561,0.12673542
Ctsl,1.8069459,5.1964293,0.07077070847657281,0.9996718087780754,0.6666666666666666,0.1874820968203953,1.9446001,0.1513321
Ptov1,1.8034371,5.3457317,0.07131958467444142,0.9996718087780754,0.6666666666666666,0.1922801489544543,1.9446001,0.13742884
Srp14,1.8004655,5.270458,0.07178717368107496,0.9996718087780754,0.6666666666666666,0.19367659696362075,1.9446001,0.14428237
Ubl5,1.782671,4.9468207,0.07463987997969562,0.9996718087780754,0.6666666666666666,0.19958464623317101,1.919561,0.17280869
Fbxo31,1.781561,5.495607,0.074820840905892,0.9996718087780754,0.6666666666666666,0.21734460040103123,1.919561,0.12128999
Rps6,1.748192,4.7074785,0.08043080150372955,0.9996718087780754,0.6666666666666666,0.23503294185047263,1.9118434,0.19940194
Cct3,1.7382385,4.9681005,0.08216880529561783,0.9996718087780754,0.6666666666666666,0.2585219134918362,1.9118434,0.16906875
Susd1,1.7203008,4.884467,0.08537778606009272,0.9996718087780754,0.6666666666666666,0.2792179891148668,1.9118434,0.17830975
Psma7,1.708199,4.604908,0.0875994103930431,0.9996718087780754,0.6666666666666666,0.2801131480951017,1.9118434,0.21263507
Rpl31,1.6913713,4.7504554,0.09076591212442826,0.9996718087780754,0.6666666666666666,0.2950085935262102,2.1415756,0.2461635
Uqcr11,1.678661,4.20458,0.09321814205052367,0.9996718087780754,0.6666666666666666,0.2922156975078774,1.9446001,0.2813561
Sulf2,1.6760831,4.3244357,0.09372192259585643,0.9996718087780754,0.6666666666666666,0.319786594099112,1.919561,0.25494716
Invs,1.6686001,4.5563407,0.09519666383949958,0.9996718087780754,0.6666666666666666,0.33077914637639644,1.9446001,0.22683233
Bex2,1.6651987,4.1939306,0.09587311719829134,0.9996718087780754,0.6666666666666666,0.3126253222572329,1.9446001,0.28317168
Trf,1.6637666,3.899201,0.09615908834665678,0.9996718087780754,0.6666666666666666,0.27316671440847895,1.919561,0.32925898
Eef1a2,1.653097,4.3221602,0.09831111718876966,0.9996718087780754,0.6666666666666666,0.3329275279289602,1.9118434,0.25327104
Rbbp7,1.6412102,4.368332,0.1007537948247993,0.9996718087780754,0.6666666666666666,0.3560584359782297,1.9446001,0.2546889
Gm11867,1.6392767,4.0413904,0.10115563222847539,0.9996718087780754,0.6666666666666666,0.3483958751074191,1.9118434,0.3002199
Sugt1,1.6311493,4.3443613,0.10285881898132582,0.9996718087780754,0.6666666666666666,0.36579776568318534,1.9446001,0.25844932
Ndst4,1.6088793,3.4060774,0.10764272667797174,0.9996718087780754,0.6666666666666666,0.3757519335433973,1.9446001,0.44797498
Tpt1,1.587218,3.7253819,0.11246326826509055,0.9996718087780754,0.6666666666666666,0.3707748496132913,1.9446001,0.37358534
Macroh2a1,1.5867168,4.1017637,0.1125768005328816,0.9996718087780754,0.6666666666666666,0.4105915210541392,1.9446001,0.299309
Wwc2,1.5831364,4.0187044,0.11339037492452907,0.9996718087780754,0.6666666666666666,0.41581924949871096,1.9446001,0.31452155
Agpat5,1.5827783,4.0327754,0.11347198645761035,0.9996718087780754,0.6666666666666666,0.4145660269263821,1.9118434,0.3017721
Smim13,1.5819907,4.0120044,0.11365169469456672,0.9996718087780754,0.6666666666666666,0.4108779719278144,1.919561,0.30793336
Pcp4,1.5803437,3.7455907,0.1140281725563628,0.9996718087780754,0.6666666666666666,0.3910770552850186,1.9446001,0.36923864
Rps23,1.5793054,3.9424386,0.11426602146093295,0.9996718087780754,0.6666666666666666,0.38502578057863074,2.1415756,0.39787957
Cbx3,1.5674186,3.9064252,0.1170168907442478,0.9996718087780754,0.6666666666666666,0.42659696362073907,1.9446001,0.3361267
Pdia3,1.5576441,3.7745168,0.11931763514072954,0.9996718087780754,0.6666666666666666,0.4329346892008021,1.9446001,0.36309254
Ube2n,1.5506624,3.858999,0.1209826158709847,0.9996718087780754,0.6666666666666666,0.4429246634202234,1.919561,0.33715397
Atp6v1e1,1.5361618,3.681967,0.12449869323078817,0.9996718087780754,0.6666666666666666,0.44210111715840733,1.9446001,0.38306347
Eif1,1.5278912,3.4471629,0.12653956330425073,0.9996718087780754,0.6666666666666666,0.4099828129475795,1.9118434,0.42436275
Emc2,1.5265664,4.061607,0.1268688624747052,0.9996718087780754,0.6666666666666666,0.4726081352048124,2.132911,0.36847183
Rpl35a,1.5208737,3.7332444,0.12829155598051425,0.9996718087780754,0.6666666666666666,0.44460756230306503,2.132911,0.44429886
Ddx46,1.5190119,3.6776779,0.12875952098857704,0.9996718087780754,0.6666666666666666,0.47593812661128615,1.9118434,0.37194666
Marcks,1.4918725,3.3338022,0.1357325620508789,0.9996718087780754,0.6666666666666666,0.4729661987969063,1.9446001,0.46635586
Mdh1,1.484497,3.4313138,0.13767712892385833,0.9996718087780754,0.6666666666666666,0.4770839301059868,1.9446001,0.44169462
