names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expr_Cluster_MEA-BST Lhx6 Nfib Gaba (for_DEGs),mean_expr_Rest (for_DEGs)
Rplp1,3.3200662,3.261797,0.0008999610446627155,0.38899075319380017,0.875,0.6538337571177882,2.5689197,0.8137985
Olfm1,2.9153774,2.054114,0.0035525862924691547,0.5023970454465749,0.875,0.7480929699530853,2.1649857,1.0499897
Camk1d,2.855823,1.4085115,0.004292542354011814,0.5023970454465749,1.0,0.953980589478208,3.237519,2.3241467
Rtn1,2.8195775,1.3867731,0.0048086932716358945,0.5023970454465749,0.875,0.9052752211438599,2.7113464,1.8520292
Calr,2.7572165,3.0426438,0.005829576034048656,0.5250073081307663,0.75,0.48203989542670916,1.7811985,0.46946925
Cox7c,2.6553206,3.1510105,0.007923306770337328,0.54818897733086,0.75,0.46323819073881745,1.864517,0.47863087
Plp1,2.4631944,2.4997199,0.013770527353595659,0.6495104038148257,0.875,0.7187264978691401,2.6611423,1.2100966
Cox7a2,2.3681397,3.5893872,0.017877779744553905,0.7028925306347198,0.625,0.3093865272356122,1.6098354,0.28704074
Ndufa13,2.2669017,3.175043,0.023396224547121224,0.7474015585689164,0.625,0.2862156645059628,1.3814926,0.28520247
Calm2,2.2161403,1.504611,0.02668189521812526,0.7827323843849145,0.875,0.8573219209970275,2.2752767,1.4053351
Eif1,2.1173363,2.928115,0.034231321110479995,0.8535671930607734,0.625,0.40994878773770727,1.6136851,0.42418185
Tmsb4x,2.0749948,2.2486646,0.03798701857582623,0.8912427037239901,0.75,0.7215915195358665,2.3289084,1.0817709
Npy,2.0696883,4.6192923,0.03848153443064937,0.8913783018547832,0.5,0.1213694803566952,1.4254616,0.12094393
Rpl17,2.024343,2.821704,0.042934882350502176,0.9246417421580134,0.625,0.45557425778032445,1.600042,0.4441477
Hras,2.0003107,4.0413017,0.04546672782024567,0.9432488076447099,0.5,0.16291229452422734,1.1366932,0.120928764
Scg3,1.9557545,2.7346065,0.050494074555545575,0.9746952466289581,0.625,0.44099846005085414,1.4157219,0.38436767
Slc22a17,1.9323144,2.8480022,0.05332071735585604,0.9925133816326465,0.625,0.5134835082190309,1.6425787,0.45676285
Ube2v1,1.9090496,4.1597877,0.05625569646813859,0.999308983447934,0.5,0.21129534792106866,1.2929528,0.13793285
Gad2,1.8722776,3.776058,0.06116820414052421,0.999308983447934,0.5,0.22347169000465567,1.5249863,0.23303305
Ndufa4,1.8720803,2.4456491,0.06119549727007953,0.999308983447934,0.625,0.40790745980016474,1.3814926,0.43642974
Rps29,1.8647346,2.503669,0.06221860527142073,0.999308983447934,0.625,0.5171005980732729,1.6600496,0.5602342
Cldn11,1.8485523,3.6983147,0.06452247479536347,0.999308983447934,0.5,0.22397306879633277,1.4955024,0.23638979
Aplp1,1.817942,2.7869742,0.06907300160052587,0.999308983447934,0.625,0.6128639472836014,2.0105786,0.6611887
Scd2,1.8141266,2.2748623,0.06965823095787851,0.999308983447934,0.625,0.5443183039071733,1.5938737,0.59364444
Rpl22l1,1.7686276,3.6993551,0.0769560319311939,0.999308983447934,0.5,0.25885470758872614,1.4119818,0.21426795
Rbm15,1.7609313,3.693932,0.07825004770888104,0.999308983447934,0.5,0.2509042724635605,1.1096169,0.14592274
Sez6l2,1.7418765,2.377526,0.08153006562970469,0.999308983447934,0.625,0.5114421802814884,1.3841723,0.45468867
Tmem178b,1.6904352,0.5703778,0.09094472729271864,0.999308983447934,0.75,0.7855173154746983,1.8829038,1.5587289
App,1.6428531,0.7788576,0.10041332587598217,0.999308983447934,0.75,0.899437739497905,2.280701,1.8114395
Psma7,1.6243027,3.1017601,0.10431122241457053,0.999308983447934,0.5,0.28009168069333523,1.1096169,0.21256064
Gad1,1.6022658,2.7546625,0.10909683650600013,0.999308983447934,0.5,0.2654800701930308,1.0637848,0.24774088
Lnpep,1.5914776,1.8032198,0.11150212227597009,0.999308983447934,0.625,0.6841313612434194,1.6356182,0.78122133
Syt11,1.5759094,1.4366384,0.11504670286795902,0.999308983447934,0.75,0.7936110016832002,1.8467188,1.0893605
Ppia,1.5584333,2.3967888,0.1191305619605838,0.999308983447934,0.625,0.5328940300111019,1.7205417,0.6265342
mt-Co3,1.5421195,2.4167826,0.12304456367541908,0.999308983447934,0.625,0.6080650359918347,1.9926348,0.7822331
Grik1,1.5379313,1.7025266,0.12406539512822218,0.999308983447934,0.625,0.4994090892812377,1.5433967,0.75650513
Psip1,1.4762281,2.057879,0.1398826479062051,0.999308983447934,0.625,0.5932385488665258,1.4424126,0.5743408
Hsp90ab1,1.4725664,1.5276536,0.14086800911565875,0.999308983447934,0.75,0.8093686208501952,1.9970065,1.1657512
Pgm3,1.4654181,4.218187,0.1428068939526102,0.999308983447934,0.375,0.11259535150234573,0.74807215,0.058075376
Ap2a1,1.4432715,2.7711515,0.14894398679126705,0.999308983447934,0.5,0.34659599613222075,1.0544062,0.24213909
Ube3a,1.4296767,0.90319425,0.15280983407418755,0.999308983447934,0.625,0.759732120474161,1.5451068,1.0893153
Uqcrfs1,1.4261903,3.8486302,0.15381343041861026,0.999308983447934,0.375,0.11821795652329621,0.86184335,0.09068602
Hcn1,1.415402,0.77189606,0.15695064382109591,0.999308983447934,0.75,0.7489166636822691,1.9886111,1.5460149
Psmb7,1.4113674,2.7063506,0.15813629288430975,0.999308983447934,0.5,0.38838949969559144,1.1392977,0.28180537
Rab14,1.4064119,2.0540526,0.1596018465576321,0.999308983447934,0.625,0.6139025176377897,1.4961712,0.6066575
Lamtor2,1.4062365,3.4600773,0.15965391219158243,0.999308983447934,0.375,0.12104716541918849,0.6928615,0.086926565
Erlin2,1.4025747,3.730392,0.1607437174578985,0.999308983447934,0.375,0.1292124771693586,0.6940315,0.07276326
Gprasp1,1.390712,1.1232097,0.16431277198977123,0.999308983447934,0.625,0.75296350678652,1.5731205,1.0132071
Rab2a,1.3700128,1.4114919,0.17068293055095474,0.999308983447934,0.625,0.6836299824517423,1.3916824,0.75888515
Gsn,1.3694206,3.4849763,0.17086781155570174,0.999308983447934,0.375,0.14428965369050603,0.95392376,0.133248
